"Mark","Passed","Job","Sleep","Attendance"
63.5465532343868,"pass","no",7.77847254276276,59.3838493106887
57.3760039385348,"pass","no",4.57980245817453,79.8823557794094
68.7402310915161,"pass","no",4.13196229189634,88.8408650411293
47.830733136324,"fail","yes",9.95826868200675,38.5191593319178
26.3460662511751,"fail","no",7.50363307399675,9.03220842592418
53.6036865266557,"pass","yes",8.69093839079142,62.5743637094274
73.2335884557095,"pass","yes",9.3513767356053,74.5636217296124
36.0411437341945,"fail","no",8.52919272147119,8.5378457326442
55.7769422490807,"pass","no",9.87522238073871,30.0517611205578
45.1138804850864,"fail","yes",4.26488240761682,61.4562157308683
65.7926426238408,"pass","yes",9.42040530825034,75.2932057948783
74.3069420767961,"pass","yes",9.19300488429144,91.705713304691
44.5429045272,"fail","no",8.65244554821402,47.5750505691394
43.6128281658313,"fail","yes",6.26089850114658,56.7119466140866
43.8887784394317,"fail","yes",4.25264829210937,73.6620346084237
72.6614561236164,"pass","no",6.18646648991853,85.7447424437851
61.5468252848556,"pass","yes",5.64250761875883,90.9146504476666
39.6618010754308,"fail","yes",9.10280488431454,5.63822253607213
58.3792140586185,"pass","no",6.17441027471796,50.2908304100856
37.7387871565896,"fail","yes",5.82686674362049,35.0544773042202
72.8098846526923,"pass","yes",8.55481203645468,84.5556122949347
62.316406759954,"pass","no",9.06900774594396,80.6435163831338
25.6372212808982,"fail","yes",6.7475293665193,11.733122728765
64.5173926950649,"pass","yes",8.3777899867855,71.2686554994434
31.4232892357149,"fail","yes",4.62447181623429,23.5268858028576
21.5332224592902,"fail","no",5.31989906635135,7.49567511957139
95.1636622704804,"pass","yes",9.72370748640969,93.5646147234365
37.1816130397226,"fail","no",8.5122252474539,15.7167825149372
63.0767842697512,"pass","yes",8.91373229958117,64.7057350026444
36.3982571106373,"fail","yes",6.50666261045262,17.3517746152356
