"YearMonth","Value"
2010-01-01,175.837146120687
2010-02-01,177.0189350631
2010-03-01,186.952249884895
2010-04-01,177.223050348547
2010-05-01,176.775726410966
2010-06-01,185.4903899213
2010-07-01,177.165497235935
2010-08-01,166.009632592361
2010-09-01,168.678882888639
2010-10-01,169.3260281794
2010-11-01,178.544490784637
2010-12-01,172.558882962344
2011-01-01,172.004628703564
2011-02-01,169.464096295671
2011-03-01,164.664953191476
2011-04-01,177.921478820818
2011-05-01,169.387102869375
2011-06-01,153.800297060222
2011-07-01,169.008135409382
2011-08-01,161.163251553632
2011-09-01,156.793057764079
2011-10-01,161.09215051205
2011-11-01,155.443973310157
2011-12-01,156.426652624253
2012-01-01,156.249764392904
2012-02-01,149.079840135546
2012-03-01,163.426722266967
2012-04-01,158.520238707019
2012-05-01,149.971178377928
2012-06-01,163.52288952642
2012-07-01,157.758785328861
2012-08-01,152.629571102046
2012-09-01,158.97075396627
2012-10-01,158.068800925198
2012-11-01,156.929486489825
2012-12-01,155.331841524601
2013-01-01,153.723505921226
2013-02-01,149.22852973654
2013-03-01,146.96422401756
2013-04-01,145.717173993926
2013-05-01,143.031758126477
2013-06-01,145.152496331882
2013-07-01,138.00762189059
2013-08-01,157.813735792031
2013-09-01,151.24777198983
2013-10-01,136.46134850078
2013-11-01,139.982690988206
2013-12-01,138.800067878261
2014-01-01,145.479790710018
2014-02-01,139.499785601169
2014-03-01,140.719911083969
2014-04-01,138.228719467908
2014-05-01,137.342777256252
2014-06-01,145.011613704087
2014-07-01,134.645374086044
2014-08-01,144.298823626577
2014-09-01,125.107483174619
2014-10-01,137.107682497816
2014-11-01,133.543125463068
2014-12-01,133.295649412464
2015-01-01,133.477836896559
2015-02-01,127.386059281344
2015-03-01,127.600755697983
2015-04-01,122.688547701357
2015-05-01,121.569252641147
2015-06-01,129.021171848426
2015-07-01,129.089258671777
2015-08-01,125.918025360383
2015-09-01,130.333604807278
2015-10-01,136.300508113763
2015-11-01,120.253813003661
2015-12-01,108.544986746155
2016-01-01,127.634431146774
2016-02-01,116.544795424506
2016-03-01,115.871948301196
2016-04-01,125.35342821818
2016-05-01,116.691361957694
2016-06-01,110.275693726473
2016-07-01,117.887820878495
2016-08-01,115.166651825366
2016-09-01,115.234585115399
2016-10-01,116.711682406758
2016-11-01,111.376039809246
2016-12-01,116.666259291113
2017-01-01,110.677080629087
2017-02-01,113.190691783494
2017-03-01,116.981034078896
2017-04-01,112.211088945003
2017-05-01,106.844410486813
2017-06-01,114.892845710707
2017-07-01,113.161023135773
2017-08-01,109.690381757048
2017-09-01,107.032390410669
2017-10-01,101.032563543764
2017-11-01,112.16391469118
2017-12-01,99.5984424771172
2018-01-01,115.523997958099
2018-02-01,110.795663757111
2018-03-01,99.3857978453971
2018-04-01,93.8414745981593
2018-05-01,94.9375606178042
2018-06-01,99.9413022549392
2018-07-01,96.1198487292258
2018-08-01,94.7147444036136
2018-09-01,90.2902885964099
2018-10-01,94.9298336511465
2018-11-01,89.6905731832575
2018-12-01,83.5923483804712
2019-01-01,90.5186408782734
2019-02-01,97.5139796543646
2019-03-01,87.7479182243496
2019-04-01,94.0477859333502
2019-05-01,79.892703750265
2019-06-01,88.4666282068528
2019-07-01,91.1164432236608
2019-08-01,89.0069201730003
2019-09-01,87.0340571648937
2019-10-01,81.7557639501677
2019-11-01,79.7017739237985
2019-12-01,77.8552272563705
2020-01-01,83.9058795826007
2020-02-01,76.7151523148912
2020-03-01,78.656655337796
2020-04-01,79.2634468468105
2020-05-01,91.0631720313933
2020-06-01,75.2883005898272
2020-07-01,79.8123194337091
2020-08-01,78.0677650973823
2020-09-01,71.0288601952192
2020-10-01,75.5721514832584
2020-11-01,83.8673051505401
2020-12-01,77.1090243184753
2021-01-01,73.8473975319576
2021-02-01,70.2650190059622
2021-03-01,59.6805166707569
2021-04-01,77.988023280485
2021-05-01,61.6361595744511
2021-06-01,74.039685065264
2021-07-01,80.2546214153049
2021-08-01,59.3366410341692
2021-09-01,71.4107060122483
2021-10-01,64.8268150635852
2021-11-01,56.1671350451271
2021-12-01,55.7119940773095
